#Acq. time (s)=	20
#Accumulations=	8
#Range (cm-¹)=	50...4000
#Windows=	3
#Autofocus=	Off
#AutoExposure=	Off
#Spike filter=	Multiple accum.
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Off
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Instrument=	LabRAM HR Evol
#Detector=	Syncerity OE
#Objective=	x100_VIS
#Grating=	600 (500nm)
#ND Filter=	5%
#Laser=	532nm_Edge
#Hole=	100.021
#Range=	Visible
#Project=	Omar
#Sample=	120523
#Site=	ap
#Title=	mz
#Remark=	5 laser intensity
#Date=	12.05.2023 17:01
#Acquired=	12.05.2023 17:01:16
2178.9	720.207
2180.34	709.65
2181.77	723.951
2183.21	705.108
2184.65	728.266
2186.09	717.995
2187.53	716.295
2188.97	715.453
2190.4	712.039
2191.84	712.911
2193.28	720.354
2194.71	714.083
2196.15	709.526
2197.59	708.969
2199.02	718.127
2200.46	716.427
2201.89	707.585
2203.33	713.885
2204.76	717.9
2206.2	699.629
2207.63	719.358
2209.07	702.801
2210.5	706.53
2211.93	689.402
2213.37	702.274
2214.8	708.86
2216.23	700.303
2217.67	706.032
2219.1	692.333
2220.53	689.776
2221.96	688.648
2223.39	696.662
2224.82	700.677
2226.26	697.549
2227.69	680.706
2229.12	691.864
2230.55	696.45
2231.98	692.179
2233.41	692.765
2234.84	692.208
2236.26	686.794
2237.69	689.381
2239.12	679.681
2240.55	687.696
2241.98	685.71
2243.41	681.725
2244.83	692.883
2246.26	676.612
2247.69	679.483
2249.11	682.355
2250.54	683.227
2251.97	683.242
2253.39	670.113
2254.82	672.414
2256.24	684.714
2257.67	669.586
2259.09	676.458
2260.52	683.044
2261.94	674.202
2263.37	681.359
2264.79	672.231
2266.22	678.531
2267.64	672.546
2269.06	681.703
2270.49	673.433
2271.91	682.019
2273.33	674.319
2274.75	675.191
2276.18	687.491
2277.59	686.935
2279.02	675.806
2280.44	677.25
2281.86	672.407
2283.28	685.85
2284.7	679.008
2286.12	677.023
2287.54	681.323
2288.96	688.481
2290.38	669.924
2291.8	675.939
2293.22	678.525
2294.63	681.396
2296.05	681.411
2297.47	690.854
2298.89	686.869
2300.31	669.741
2301.72	678.613
2303.14	687.77
2304.56	685.214
2305.97	688.371
2307.39	685.243
2308.81	674.686
2310.22	686.129
2311.64	677.287
2313.05	680.444
2314.47	679.602
2315.88	691.617
2317.3	686.774
2318.71	692.217
2320.12	682.518
2321.54	682.247
2322.95	677.404
2324.36	695.705
2325.78	676.291
2327.19	672.306
2328.6	688.32
2330.01	691.478
2331.43	692.921
2332.84	684.079
