AP Cora 5001
Software_Version;1.4.1
[SAMPLE]
Sample_Name;ArmandoReye-2023-10-12--01-04-50
Method;
Comentarios;
[PARAMETERS]
Instrument_Type;Cora 5001
Instrument_SN;99100919
Last_SST;8/18/2023 9:12:00 AM +00:00
User_Name;administrator
Measurement_Started;10/12/2023 1:04:50 AM
Measurement_Finished;10/12/2023 1:06:02 AM
Measurement_Saved;10/12/2023 1:06:02 AM
Wavelength;785
Laser_Power;450
Auto_Exposure;True
Exposure_Time;10000
Averaged_Spectra;3
Probe_Type;Microwave Probe (785 nm)
Probe_SN;99117511
Dark_Background;True
User_Background_Spectrum;
Spike_Removal;False
Baseline_Correction;True
Smoothing;False
Normalization;None
[SPECTRUM QUALITY]
1408.00;102.46
1410.00;99.77
1412.00;86.29
1414.00;69.15
1416.00;74.99
1418.00;64.32
1420.00;47.95
1422.00;31.03
1424.00;17.57
1426.00;4.43
1428.00;-3.92
1430.00;-0.58
1432.00;-3.44
1434.00;-1.37
1436.00;-13.87
1438.00;-14.89
1440.00;-11.49
1442.00;-9.89
1444.00;12.44
1446.00;33.26
1448.00;54.72
1450.00;62.49
1452.00;76.42
1454.00;80.62
1456.00;90.53
1458.00;80.65
1460.00;78.58
1462.00;64.29
1464.00;60.46
1466.00;54.31
1468.00;43.74
1470.00;28.04
1472.00;14.55
1474.00;4.05
1476.00;5.14
1478.00;-6.50
1480.00;4.83
1482.00;7.55
1484.00;1.52
1486.00;-4.48
1488.00;-1.37
1490.00;4.02
1492.00;3.75
1494.00;2.44
1496.00;3.92
1498.00;3.84
1500.00;17.97
1502.00;23.41
1504.00;8.74
1506.00;4.81
1508.00;4.98
1510.00;-7.19
1512.00;12.16
1514.00;17.84
1516.00;3.78
1518.00;14.25
1520.00;-1.59
1522.00;12.74
1524.00;-11.33
1526.00;-29.78
1528.00;-11.70
1530.00;1.26
1532.00;0.55
1534.00;-9.79
1536.00;-4.67
1538.00;-5.42
1540.00;8.07
1542.00;-1.70
1544.00;-15.02
1546.00;1.71
1548.00;-0.46
1550.00;-13.19
1552.00;-25.87
1554.00;-18.84
1556.00;-8.02
1558.00;-28.73
1560.00;-34.18
1562.00;-27.80
1564.00;-27.66
1566.00;-25.35
1568.00;-31.87
1570.00;-27.05
1572.00;-22.95
1574.00;-8.92
1576.00;-16.55
1578.00;-6.73
1580.00;-4.54
1582.00;5.09
1584.00;0.07
1586.00;11.45
1588.00;33.76
1590.00;18.86
1592.00;39.83
1594.00;64.05
1596.00;66.21
1598.00;66.94
1600.00;81.94
1602.00;70.61
1604.00;75.11
1606.00;75.36
1608.00;76.51
1610.00;84.32
1612.00;90.28
1614.00;99.81
1616.00;101.58
1618.00;86.70
1620.00;108.72
1622.00;125.59
1624.00;122.85
1626.00;113.69
1628.00;118.46
1630.00;139.57
1632.00;149.88
1634.00;141.62
1636.00;156.73
1638.00;163.93
1640.00;170.19
1642.00;194.86
1644.00;185.52
1646.00;172.91
1648.00;189.50
1650.00;182.91
1652.00;177.33
1654.00;179.66
1656.00;184.18
1658.00;189.05
1660.00;178.97
1662.00;167.06
1664.00;167.98
1666.00;175.60
1668.00;152.91
1670.00;143.18
1672.00;138.27
1674.00;132.20
1676.00;118.46
1678.00;127.99
1680.00;123.33
1682.00;120.33
1684.00;107.46
1686.00;103.19
1688.00;94.71
1690.00;91.98
1692.00;75.75
1694.00;69.37
1696.00;78.67
1698.00;84.29
1700.00;83.84
1702.00;64.31
1704.00;53.53
1706.00;63.02
1708.00;55.07
1710.00;53.04
1712.00;48.68
1714.00;66.82
1716.00;49.09
1718.00;48.70
1720.00;42.21
1722.00;45.73
1724.00;27.63
1726.00;27.80
1728.00;11.77
1730.00;11.86
1732.00;9.39
1734.00;12.76
1736.00;-5.66
1738.00;4.21
1740.00;2.12
1742.00;-8.66
1744.00;5.34
1746.00;-17.23
1748.00;-5.10
1750.00;-8.71
1752.00;-11.74
1754.00;-6.25
1756.00;-19.04
1758.00;-16.24
1760.00;-25.28
1762.00;-25.24
1764.00;3.35
1766.00;-11.82
1768.00;-17.13
1770.00;-30.11
1772.00;-13.50
1774.00;-15.83
1776.00;-2.80
1778.00;-11.77
1780.00;-10.86
1782.00;-9.75
1784.00;-26.59
1786.00;-17.17
1788.00;-11.83
1790.00;0.68
1792.00;-2.27
1794.00;-0.45
1796.00;-1.44
1798.00;-14.39
1800.00;-21.96
1802.00;-19.11
1804.00;-14.45
1806.00;-9.22
1808.00;-8.93
1810.00;-13.62
1812.00;-8.58
1814.00;-17.92
1816.00;-12.86
1818.00;-10.92
1820.00;-10.12
1822.00;-18.62
1824.00;-27.26
1826.00;-17.70
1828.00;-12.73
1830.00;-19.23
1832.00;-16.82
1834.00;-16.88
1836.00;-3.96
1838.00;-5.12
1840.00;-12.80
1842.00;4.50
1844.00;-1.73
1846.00;-16.17
1848.00;-22.92
1850.00;-17.55
1852.00;-12.12
1854.00;-10.00
1856.00;-5.61
1858.00;8.20
1860.00;13.50
1862.00;0.97
1864.00;2.72
1866.00;-6.31
1868.00;-17.50
1870.00;-12.86
1872.00;-1.36
1874.00;13.66
1876.00;24.46
1878.00;12.93
1880.00;12.32
1882.00;0.76
1884.00;5.60
1886.00;28.73
1888.00;15.51
1890.00;20.75
1892.00;20.14
1894.00;29.20
1896.00;24.08
1898.00;13.33
1900.00;23.38
1902.00;20.29
1904.00;30.82
1906.00;14.00
1908.00;21.43
1910.00;17.53
1912.00;34.84
1914.00;16.37
1916.00;21.62
1918.00;5.41
1920.00;9.66
1922.00;7.09
1924.00;18.69
1926.00;4.56
1928.00;1.50
1930.00;18.18
1932.00;-9.43
1934.00;7.03
1936.00;1.70
1938.00;4.66
1940.00;-4.72
1942.00;16.43
1944.00;-5.24
1946.00;-1.97
1948.00;-5.80
1950.00;12.15
1952.00;2.34
1954.00;-20.91
1956.00;-12.64
1958.00;-10.49
1960.00;0.79
1962.00;-14.56
1964.00;-1.71
1966.00;0.71
1968.00;-3.48
1970.00;-16.89
1972.00;-12.57
1974.00;6.10
1976.00;-17.22
1978.00;10.45
1980.00;-14.44
1982.00;14.02
1984.00;-17.46
1986.00;-14.85
1988.00;-9.35
1990.00;-5.32
1992.00;0.81
1994.00;-5.53
1996.00;0.23
1998.00;0.76
2000.00;-20.60
2002.00;0.56
2004.00;-2.22
2006.00;-14.94
2008.00;-2.51
2010.00;-10.33
2012.00;-2.14
2014.00;-16.78
2016.00;-8.33
2018.00;-15.36
2020.00;-14.05
2022.00;-9.10
2024.00;-0.95
2026.00;5.25
2028.00;-17.56
2030.00;-1.09
2032.00;-2.20
2034.00;-6.96
2036.00;2.29
2038.00;-12.18
2040.00;-16.64
2042.00;-18.57
2044.00;-15.57
2046.00;-29.51
2048.00;-13.87
2050.00;-21.47
2052.00;-14.34
2054.00;-35.14
2056.00;3.35
2058.00;8.28
2060.00;-4.61
2062.00;19.30
2064.00;6.24
2066.00;25.47
2068.00;37.91
2070.00;21.40
2072.00;38.19
2074.00;46.06
2076.00;32.63
2078.00;32.10
2080.00;40.25
2082.00;44.95
2084.00;44.86
2086.00;32.03
2088.00;25.26
2090.00;26.17
2092.00;27.24
2094.00;35.47
2096.00;27.26
2098.00;31.53
2100.00;10.97
2102.00;1.49
2104.00;11.18
2106.00;5.31
2108.00;-5.28
2110.00;-5.96
2112.00;-0.09
2114.00;-1.86
2116.00;-13.73
2118.00;-1.26
2120.00;2.91
2122.00;7.77
2124.00;-6.65
2126.00;-11.96
2128.00;6.67
2130.00;-96.17
2132.00;-19.55
2134.00;-20.52
2136.00;-21.94
2138.00;-29.81
2140.00;-35.64
2142.00;-5.60
2144.00;-3.38
2146.00;-14.17
2148.00;-19.06
2150.00;-7.75
2152.00;-7.14
2154.00;-9.27
2156.00;-24.15
2158.00;-25.47
2160.00;-14.93
2162.00;-12.13
2164.00;-1.64
2166.00;-26.59
2168.00;-4.37
2170.00;-16.05
2172.00;-10.53
2174.00;-13.18
2176.00;-12.38
2178.00;-3.87
2180.00;4.81
2182.00;-0.81
2184.00;0.09
2186.00;-3.41
2188.00;-6.47
2190.00;-25.33
2192.00;21.16
2194.00;30.27
2196.00;12.19
2198.00;23.03
2200.00;48.01
2202.00;28.35
2204.00;26.44
2206.00;56.50
2208.00;41.98
2210.00;31.03
2212.00;76.01
2214.00;49.46
2216.00;62.73
2218.00;51.53
2220.00;49.37
2222.00;55.29
2224.00;66.99
2226.00;11.43
2228.00;19.08
2230.00;17.29
2232.00;22.59
2234.00;10.22
2236.00;7.96
2238.00;28.45
2240.00;3.86
2242.00;24.65
2244.00;8.47
2246.00;12.35
2248.00;-5.16
2250.00;-9.43
2252.00;-15.69
2254.00;1.28
2256.00;-6.44
2258.00;-9.51
2260.00;-27.37
2262.00;-25.80
2264.00;-27.41
2266.00;-18.44
2268.00;-4.96
2270.00;-7.14
2272.00;-10.82
2274.00;-12.61
2276.00;-6.41
2278.00;14.93
2280.00;-1.54
2282.00;15.57
2284.00;17.98
2286.00;14.01
2288.00;10.52
2290.00;-5.07
2292.00;-7.31
2294.00;0.84
2296.00;8.67
2298.00;-20.20
2300.00;13.29
