AP Cora 5001
Software_Version;1.4.1
[SAMPLE]
Sample_Name;punto inicial Dr A. Reyes
Method;
Comentarios;
[PARAMETERS]
Instrument_Type;Cora 5001
Instrument_SN;99100919
Last_SST;8/18/2023 9:12:00 AM +00:00
User_Name;administrator
Measurement_Started;10/12/2023 1:13:42 AM
Measurement_Finished;10/12/2023 1:14:23 AM
Measurement_Saved;10/12/2023 1:15:00 AM
Wavelength;785
Laser_Power;450
Auto_Exposure;True
Exposure_Time;10000
Averaged_Spectra;1
Probe_Type;Microwave Probe (785 nm)
Probe_SN;99117511
Dark_Background;True
User_Background_Spectrum;
Spike_Removal;False
Baseline_Correction;True
Smoothing;False
Normalization;None
[SPECTRUM QUALITY]
1094.00;9.14
1096.00;-8.15
1098.00;14.25
1100.00;27.69
1102.00;16.37
1104.00;9.20
1106.00;3.59
1108.00;8.06
1110.00;5.45
1112.00;19.91
1114.00;16.02
1116.00;18.74
1118.00;17.29
1120.00;16.80
1122.00;18.82
1124.00;14.19
1126.00;20.21
1128.00;0.60
1130.00;3.21
1132.00;7.62
1134.00;0.22
1136.00;10.47
1138.00;13.97
1140.00;13.60
1142.00;23.89
1144.00;32.18
1146.00;27.05
1148.00;32.75
1150.00;22.33
1152.00;13.37
1154.00;-8.31
1156.00;-11.05
1158.00;4.81
1160.00;-5.18
1162.00;-20.49
1164.00;-26.93
1166.00;-6.81
1168.00;-24.23
1170.00;-34.05
1172.00;-28.45
1174.00;-21.67
1176.00;-25.73
1178.00;-17.10
1180.00;-24.27
1182.00;-17.57
1184.00;-41.53
1186.00;-38.96
1188.00;-41.21
1190.00;-34.42
1192.00;-20.01
1194.00;-25.97
1196.00;-23.98
1198.00;-33.03
1200.00;-14.51
1202.00;-13.59
1204.00;-17.10
1206.00;-8.73
1208.00;1.20
1210.00;-0.95
1212.00;8.60
1214.00;-8.42
1216.00;-6.59
1218.00;-5.05
1220.00;12.23
1222.00;7.72
1224.00;4.07
1226.00;12.76
1228.00;14.95
1230.00;7.05
1232.00;-11.44
1234.00;19.44
1236.00;9.96
1238.00;-7.03
1240.00;5.22
1242.00;7.56
1244.00;-8.12
1246.00;5.52
1248.00;-2.13
1250.00;-2.02
1252.00;2.78
1254.00;20.14
1256.00;39.89
1258.00;-2.09
1260.00;16.09
1262.00;19.32
1264.00;27.94
1266.00;34.07
1268.00;39.35
1270.00;51.84
1272.00;40.00
1274.00;43.15
1276.00;44.73
1278.00;49.27
1280.00;65.83
1282.00;80.70
1284.00;84.20
1286.00;88.58
1288.00;84.76
1290.00;93.14
1292.00;102.76
1294.00;127.63
1296.00;127.98
1298.00;124.22
1300.00;137.17
1302.00;164.81
1304.00;158.42
1306.00;196.48
1308.00;191.23
1310.00;193.18
1312.00;193.25
1314.00;195.80
1316.00;220.72
1318.00;210.20
1320.00;207.68
1322.00;249.17
1324.00;233.79
1326.00;227.35
1328.00;252.66
1330.00;266.19
1332.00;257.78
1334.00;266.97
1336.00;265.23
1338.00;248.04
1340.00;282.55
1342.00;274.69
1344.00;285.23
1346.00;288.21
1348.00;292.39
1350.00;283.17
1352.00;273.43
1354.00;281.56
1356.00;275.11
1358.00;270.98
1360.00;270.82
1362.00;302.00
1364.00;289.48
1366.00;272.66
1368.00;287.25
1370.00;276.27
1372.00;276.41
1374.00;279.99
1376.00;270.59
1378.00;277.13
1380.00;271.79
1382.00;303.34
1384.00;264.00
1386.00;248.07
1388.00;227.81
1390.00;192.68
1392.00;178.79
1394.00;173.19
1396.00;172.26
1398.00;143.39
1400.00;136.30
1402.00;135.85
1404.00;119.53
1406.00;133.01
1408.00;121.74
1410.00;86.13
1412.00;96.87
1414.00;100.22
1416.00;84.43
1418.00;74.32
1420.00;80.23
1422.00;63.38
1424.00;47.67
1426.00;44.93
1428.00;33.41
1430.00;20.34
1432.00;42.88
1434.00;37.07
1436.00;41.09
1438.00;14.69
1440.00;23.99
1442.00;-5.71
1444.00;-13.78
1446.00;16.32
1448.00;34.54
1450.00;29.12
1452.00;26.13
1454.00;42.33
1456.00;16.05
1458.00;20.55
1460.00;22.34
1462.00;6.28
1464.00;25.03
1466.00;9.67
1468.00;-3.45
1470.00;7.07
1472.00;1.59
1474.00;-7.49
1476.00;8.49
1478.00;-21.79
1480.00;-14.33
1482.00;-20.55
1484.00;-18.94
1486.00;-9.35
1488.00;-9.21
1490.00;8.09
1492.00;-4.10
1494.00;3.83
1496.00;1.71
1498.00;11.80
1500.00;16.78
1502.00;-1.00
1504.00;7.48
1506.00;7.70
1508.00;3.19
1510.00;-2.90
1512.00;5.90
1514.00;16.27
1516.00;-6.40
1518.00;-9.41
1520.00;-1.70
1522.00;-25.79
1524.00;-11.29
1526.00;-39.04
1528.00;-25.75
1530.00;-2.78
1532.00;-4.82
1534.00;1.75
1536.00;-21.63
1538.00;-22.14
1540.00;-14.04
1542.00;-6.92
1544.00;1.99
1546.00;7.04
1548.00;3.99
1550.00;19.72
1552.00;1.63
1554.00;-12.45
1556.00;-9.02
1558.00;-21.32
1560.00;-13.41
1562.00;-17.68
1564.00;-13.66
1566.00;-28.70
1568.00;-9.24
1570.00;-9.54
1572.00;-46.03
1574.00;-15.84
1576.00;-16.19
1578.00;-16.84
1580.00;6.59
1582.00;11.41
1584.00;-0.59
1586.00;7.08
1588.00;1.75
1590.00;18.40
1592.00;2.36
1594.00;22.41
1596.00;21.17
1598.00;30.82
1600.00;38.09
1602.00;41.90
1604.00;36.03
1606.00;35.31
1608.00;25.77
1610.00;20.38
1612.00;-0.52
1614.00;10.44
1616.00;16.42
1618.00;15.48
1620.00;0.66
1622.00;33.53
1624.00;8.22
1626.00;-11.79
1628.00;11.41
1630.00;21.02
1632.00;15.86
1634.00;8.14
1636.00;20.10
1638.00;13.91
1640.00;-15.57
1642.00;22.24
